RA_ALUNO|NOTA_1|NOTA_2
44564|10|2
10307|9|4
14809|10|2
60170|6|2
34463|10|6
10406|1|1
13276|2|3
34004|8|3
32981|2|1
87337|1|6
16346|1|2
95784|5|2
68620|6|7
85305|7|0
19367|6|4
97320|6|1
57196|8|10
39775|10|7
72705|0|4
84250|5|3
19932|6|2
38119|0|2
52954|8|5
19509|0|0
14695|2|7
53286|0|10
63043|9|0
84724|7|3
41175|6|4
42349|10|4
84051|4|1
85207|8|1
96281|7|2
27728|7|1
91120|4|2
59013|5|3
81273|9|7
99780|10|3
23260|4|10
42106|9|4
37269|2|4
18824|8|3
48664|4|2
51802|9|8
40350|3|0
61945|9|3
72971|9|3
51000|7|5
63057|1|1
49244|10|5
71390|3|9
86606|5|4
18313|7|8
17649|4|9
16446|0|3
19249|6|3
27038|10|3
51273|8|3
59805|10|0
75051|7|2
82169|2|1
56994|5|4
93193|8|6
22598|7|5
32851|10|3
38103|7|8
48014|0|9
31024|5|7
97754|0|2
42747|5|8
13780|9|3
37837|9|10
97796|10|10
70243|1|5
68258|6|5
48281|3|4
39566|5|10
95948|7|9
57605|6|8
92525|8|7
81695|7|0
73398|4|8
84877|0|6
69102|0|10
20984|7|0
81908|5|9
82188|7|9
52970|2|5
40087|0|2
37327|3|1
73237|8|9
45229|10|6
65850|2|9
72229|6|7
97569|7|1
91740|6|8
72543|7|1
25283|5|8
24032|8|6
98553|6|0
77348|1|10
10901|0|4
99976|2|6
55207|7|5
15887|4|8
67359|2|6
59813|6|6
21119|5|1
52291|6|4
15000|10|3
30381|8|1
43283|8|7
28673|3|2
44796|4|4
34908|10|6
37652|4|0
77989|6|5
60830|3|2
17231|9|9
67081|0|4
49148|1|7
28112|9|2
75535|0|8
34684|4|1
78187|7|0
41593|2|7
41994|5|8
69992|7|9
65253|7|8
27467|8|1
51043|8|5
99082|3|3
94075|3|10
31043|8|2
99117|10|8
95317|4|3
55800|10|0
71234|9|10
67883|9|4
10720|0|2
25654|2|0
30692|5|1
53211|0|9
82187|10|10
27209|10|2
44127|6|1
58230|1|0
70825|6|4
30029|0|7
25521|7|2
17730|0|7
89293|1|8
24386|6|6
22013|7|8
62363|5|1
65909|2|8
32260|5|7
71266|6|7
18330|2|7
32441|9|6
44919|10|7
24586|4|7
84184|8|2
68241|7|8
72705|2|2
45104|1|3
14644|4|0
14606|6|3
90099|3|7
98071|8|5
65136|4|8
40213|8|4
22143|1|0
55513|5|9
60848|3|9
89783|8|7
38266|2|8
77164|2|7
97032|6|0
93519|1|7
74174|6|1
15967|10|6
53042|4|9
68275|9|6
15221|5|7
21937|10|0
46389|8|7
61304|0|4
42792|8|6
81423|8|8
79081|5|7
24164|9|8
65781|0|10
79426|7|1
14033|7|0
71359|8|8
55818|2|5
93770|2|4
86129|0|8
20754|10|1
33685|1|0
50084|1|9
30874|8|8
66705|6|2
55433|4|7
17364|9|8
14391|7|7
93984|7|2
15232|6|9
58208|7|8
53169|4|4
34321|3|3
89112|2|0
23556|2|0
72297|1|8
55710|1|4
79541|5|7
54858|6|3
91723|5|10
28476|9|9
61072|10|3
63568|9|7
22040|8|5
46226|9|7
49540|0|2
24537|10|0
21208|5|10
71662|2|7
61462|2|5
55306|5|2
73968|3|7
57696|10|9
56449|10|7
76203|4|3
39801|2|2
76812|7|2
55758|2|0
75971|10|9
21850|2|2
94326|8|3
40810|6|1
45414|8|4
46127|9|3
17510|8|2
36022|4|0
25887|0|5
28400|1|1
76175|6|6
10584|4|4
14885|8|1
54738|8|6
54296|8|2
99623|2|8
14691|9|0
68293|5|5
66150|1|6
52581|0|0
10419|6|3
70290|10|1
42363|9|9
28112|6|2
57476|8|1
10185|8|3
92211|8|8
57596|9|1
29486|5|5
25538|9|3
47963|3|7
94364|9|2
65055|8|7
36135|9|9
91595|5|0
37092|4|9
86472|0|1
82275|2|3
75318|0|9
99888|1|3
61693|10|1
68102|10|2
19753|7|7
76048|1|4
90402|6|1
55684|1|6
17055|7|9
28647|5|3
47511|10|0
76396|5|5
28309|5|5
59493|2|8
81789|8|4
45084|10|10
29789|5|1
64903|8|4
61059|1|10
94162|0|4
53376|6|9
58531|2|6
24831|7|4
98014|6|5
21613|1|9
58724|7|9
11448|7|3
35097|4|6
40201|4|1
68824|2|7
46559|6|3
76329|9|1
70817|5|2
13444|1|7
62212|2|10
50741|0|1
78430|8|6
91095|5|3
23696|0|2
56611|4|5
48585|4|5
14709|0|8
96221|5|4
48589|5|3
29492|2|6
54388|9|1
67580|3|9
91420|6|6
37294|3|8
38871|2|6
84643|6|7
26202|6|7
60939|5|0
55384|4|3
42283|7|4
76247|0|3
90003|9|5
71370|4|3
61554|2|0
96794|9|2
24358|8|6
66041|9|1
24893|10|7
72375|9|4
79943|1|7
72838|6|2
60427|0|9
89662|4|8
57715|7|0
90093|10|3
20891|2|0
42239|0|6
25504|7|6
21349|2|10
85771|0|3
20280|4|1
27385|2|0
27694|1|5
91549|7|4
43682|9|10
77095|9|4
52719|4|9
83842|2|5
77264|1|5
91632|8|10
94242|7|3
36674|10|3
46601|0|8
14446|1|7
49471|5|6
76273|9|3
51613|3|1
45505|0|5
34125|8|1
96558|9|3
22057|5|7
96946|1|10
74602|5|1
81632|9|9
79246|10|6
87361|3|4
97654|8|6
26357|8|8
42834|4|7
78251|5|7
21808|4|5
14013|2|10
86850|10|2
62953|0|4
68051|1|9
10717|4|8
67403|0|5
34963|0|1
18867|6|8
30363|8|5
13995|5|3
63378|9|4
22570|6|3
36408|10|6
35686|1|0
69193|2|0
84449|1|9
43569|9|10
41629|6|3
13644|6|6
13256|9|9
93330|10|4
40378|9|6
44990|9|3
82921|3|1
26251|10|1
29065|6|9
98389|1|8
35431|6|7
61538|5|5
65742|1|1
10599|3|1
35517|2|6
35789|6|0
11525|1|8
42372|5|1
25215|5|1
81997|10|3
49034|3|4
34709|3|4
16938|5|8
49643|3|2
63317|8|2
58743|3|1
26302|8|3
11112|0|8
17944|7|5
54038|2|3
11279|7|6
30077|7|0
84622|6|5
66234|0|10
38805|3|1
44140|5|6
53301|5|10
34042|2|9
48452|8|5
18541|10|7
59207|5|1
31967|6|8
58545|10|6
20148|6|10
77799|8|9
70881|3|9
23668|3|0
85256|3|0
81180|10|5
26646|0|4
83443|5|5
78006|9|3
28558|5|7
20229|6|10
65127|3|8
39162|7|4
83307|4|5
49162|0|1
91580|6|10
37201|5|2
92602|6|7
54547|10|4
59554|3|4
55161|3|9
30367|0|3
94318|1|9
42876|4|5
94640|1|4
44390|5|8
12342|3|6
43148|5|6
27689|1|7
70474|7|4
38271|2|0
87471|1|5
11879|8|10
31077|0|10
75332|10|7
87648|2|6
51642|2|6
82858|7|2
93095|3|5
67331|4|4
86049|1|4
82036|0|9
84686|10|5
65793|4|6
60859|6|0
49361|6|5
55366|1|1
87222|3|10
29080|4|0
25140|2|3
77215|5|2
13291|4|5
74040|1|5
71437|7|2
98510|4|3
15811|7|0
50245|3|10
93142|8|3
24621|10|9
91570|9|6
85001|8|3
10877|5|6
95466|9|10
57636|1|4
99970|5|0
13404|4|3
16985|6|6
37945|7|8
18119|1|2
83122|4|8
59787|1|10
83446|3|1
92113|10|0
51582|3|3
41773|2|6
35383|2|9
25938|5|9
41201|1|2
70746|8|10
76248|2|7
93457|1|8
77535|5|4
92677|1|0
87780|2|5
53741|7|9
55955|4|5
83212|6|4
72239|9|2
92416|1|8
74619|4|0
47713|4|0
25798|3|6
98253|8|8
30280|2|8
86751|10|9
12585|10|6
79264|1|2
19169|7|6
39111|1|0
13619|4|7
71394|10|1
81782|7|1
87222|2|8
91507|6|1
43381|3|0
60467|4|5
12812|2|9
28712|6|0
33916|6|4
69824|6|10
94457|10|9
89839|1|0
32690|5|10
42032|10|7
38397|6|5
10902|7|4
52702|2|3
28377|3|6
43725|2|6
56683|9|5
74473|1|4
